reason	woo_id	wa_code	source_sku	name
not_imported	39489		SG157	Generic Men Sunglasses SG157
not_imported	39490		SG158	Generic Men Sunglasses SG158
not_imported	39491		SG159	Generic Men Sunglasses SG159
not_imported	39493		SG161	Generic Women Sunglasses SG161
not_imported	39494		SG162	Generic Women Sunglasses SG162
not_imported	39495		SG163	Generic Women Sunglasses SG163
not_imported	39496		SG164	Generic Women Sunglasses SG164
not_imported	39497		SG165	Generic Women Sunglasses SG165
not_imported	39498		SG166	Generic Women Sunglasses SG166
not_imported	39499		SG167	Generic Women Sunglasses SG167
not_imported	39500		SG168	Generic Women Sunglasses SG168
not_imported	39501		SG169	Generic Women Sunglasses SG169
not_imported	39502		SG170	Generic Women Sunglasses SG170
not_imported	39503		SG171	Generic Women Sunglasses SG171
not_imported	39504		SG172	Generic Women Sunglasses SG172
not_imported	39505		SG173	Generic Women Sunglasses SG173
not_imported	39506		SG174	Generic Women Sunglasses SG174
not_imported	39507		SG175	Generic Women Sunglasses SG175
not_imported	39508		SG176	Generic Women Sunglasses SG176
not_imported	39509		SG177	Generic Women Sunglasses SG177
not_imported	39510		SG178	Generic Women Sunglasses SG178
not_imported	39511		SG179	Generic Women Sunglasses SG179
not_imported	39512		SG180	Generic Women Sunglasses SG180
not_imported	39513		SG181	Generic Women Sunglasses SG181
not_imported	39514		SG182	Generic Women Sunglasses SG182
not_imported	39515		SG183	Generic Women Sunglasses SG183
not_imported	39970		PU65	Coco Mademoiselle by Chanel EDP for Women
not_imported	39971		PU66	Spicebomb Infinite Pour Homme Eau de Toilette by Viktor &amp; Rolf for
not_imported	39972		PU67	Jean Paul Gaultier Le Male Ultra by Jean Paul Gaultier Perfumes Fragra
not_imported	40046		SG184	Generic Women Sunglasses SG184
not_imported	40047		SG185	Generic Women Sunglasses SG185
not_imported	40048		SG186	Generic Women Sunglasses SG186
not_imported	40049		SG187	Generic Women Sunglasses SG187
not_imported	40050		SG188	Generic Women Sunglasses SG188
not_imported	40051		SG189	Generic Women Sunglasses SG189
not_imported	40052		SG190	Generic Women Sunglasses SG190
not_imported	40053		SG191	Generic Women Sunglasses SG191
not_imported	40054		SG192	Generic Women Sunglasses SG192
not_imported	40055		SG193	Generic Women Sunglasses SG193
not_imported	40056		SG194	Generic Women Sunglasses SG194
not_imported	40057		SG195	Generic Men Sunglasses SG195
not_imported	40058		SG196	Generic Men Sunglasses SG196
not_imported	40059		SG197	Generic Men Sunglasses SG197
not_imported	40060		SG198	Generic Men Sunglasses SG198
